city,lat,amphibians & reptiles,mammals,birds,all_species,total_observations,total_observers
Juneau,58,3,30,155,,,
Winnipeg,49,9,35,248,,,
Buffalo,43,11,39,156,,,
Cedar Rapids,41,24,14,160,,,
Nashville,36,24,44,274,,,
El Paso,31,70,55,327,,,
Gainesville,29,73,32,207,,,
Monterrey,25,66,67,376,,,
Cuernavaca,18,71,31,235,,,
Heredia,10,220,33,240,,,
Gamboa,9,91,55,287,,,
Medellin,6,52,32,309,,,
Manaus,-3,154,136,325,,,
Rio Branco,-10,118,45,348,,,
Cuiaba,-15,51,23,379,,,
Rio de Janeiro,-22,241,126,589,,,
Curitiba,-25,44,55,324,,,
Rosario,-32,29,55,244,,,
Montevideo,-34,28,24,214,,,
Valdivia,-39,24,45,150,,,
Torres del Paine,-51,3,15,107,,,
Punta Arenas,-53,0,11,74,,,